Date,ATR_1,Copp_1,EMA_1,MA_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,Trix_1
2014-06-04,1.9499999999999889,0.0,147.48,147.48000000000056,477100.0,147.03666666666666,148.23333333333332,148.98666666666662,150.1833333333333,146.28333333333333,145.08666666666667,144.33333333333334,0.0,0.001766064393424745
2014-06-05,2.4399999999999977,0.0,147.62,147.6200000000006,438600.0,147.31333333333333,148.68666666666667,149.75333333333333,151.1266666666667,146.24666666666667,144.8733333333333,143.80666666666667,0.0,0.0009492812584758258
2014-06-06,3.259999999999991,0.0,148.87,148.87000000000054,1016200.0,148.37,150.25,151.63,153.51,146.99,145.11,143.73000000000005,0.0,0.008467687305243192
2014-06-09,1.6000000000000227,0.0,148.73,148.7300000000006,-1007200.0,148.91,149.62,150.51000000000005,151.22000000000003,148.01999999999995,147.30999999999997,146.41999999999996,0.0,-0.0009404178142004082
2014-06-10,1.5199999999999818,0.0,148.89,148.89000000000058,1161700.0,148.54333333333332,149.47666666666663,150.06333333333328,150.9966666666666,147.95666666666662,147.02333333333334,146.43666666666667,0.0,0.001075774894103386
2014-06-11,1.839999999999975,0.0,149.2,149.20000000000059,762700.0,148.58666666666667,149.81333333333333,150.42666666666662,151.6533333333333,147.9733333333334,146.74666666666667,146.13333333333338,0.0,0.0020820740143730424
2014-06-12,2.365000000000009,0.0,147.79,147.7900000000006,-751200.0,148.35166666666666,149.25333333333333,150.7166666666666,151.61833333333334,146.88833333333332,145.98666666666662,144.5233333333333,0.0,-0.009450402144772095
2014-06-13,1.4199999999999875,0.0,148.21,148.2100000000006,747800.0,147.95000000000005,148.79000000000005,149.37,150.21,147.37000000000003,146.53000000000003,145.95000000000005,0.0,0.002841870221260004
2014-06-16,1.5699999999999932,0.0,148.5,148.5000000000006,639200.0,148.14333333333337,149.10666666666668,149.7133333333333,150.67666666666668,147.5366666666667,146.57333333333338,145.96666666666667,0.0,0.001956683084812037
2014-06-17,1.3400000000000034,0.0,148.0,148.00000000000054,-516500.0,148.27333333333334,148.80666666666667,149.61333333333334,150.14666666666668,147.46666666666667,146.93333333333334,146.1266666666667,0.0,-0.003367003367003368
2014-06-18,1.7099999999999795,0.0,148.65,148.65000000000055,1016300.0,148.42666666666662,149.39333333333332,150.13666666666663,151.10333333333332,147.6833333333333,146.71666666666667,145.97333333333333,0.0,0.0043918918918919286
2014-06-19,1.3599999999999852,0.0,148.25,148.25000000000054,-900300.0,148.54999999999995,149.07999999999996,149.90999999999994,150.43999999999994,147.71999999999997,147.19,146.36,0.0,-0.002690884628321599
2014-06-20,2.4899999999999807,0.0,150.51,150.51000000000056,1035100.0,149.78666666666666,151.39333333333332,152.2766666666666,153.88333333333333,148.90333333333334,147.29666666666668,146.41333333333338,0.0,0.01524451939291731
2014-06-23,4.1200000000000045,0.0,151.63,151.63000000000056,1145700.0,152.42,153.83999999999997,156.04999999999995,157.46999999999997,150.20999999999995,148.79,146.57999999999996,0.0,0.0074413660221912484
2014-06-24,2.766999999999996,0.0,151.06,151.06000000000054,-939000.0,151.61766666666668,152.72233333333338,154.38466666666667,155.48933333333338,149.95533333333339,148.85066666666668,147.1883333333334,0.0,-0.00375915056387254
2014-06-25,2.0050000000000243,0.0,152.0,152.00000000000054,837700.0,151.655,152.83,153.66,154.83500000000004,150.825,149.64999999999995,148.81999999999996,0.0,0.006222692969680906
2014-06-26,1.4699999999999989,0.0,152.0,152.00000000000054,0.0,151.73000000000005,152.60000000000005,153.20000000000005,154.07000000000005,151.13000000000005,150.26000000000005,149.66000000000003,0.0,0.0
2014-06-27,3.8148999999999935,0.0,154.84,154.8400000000006,1689600.0,154.19836666666666,156.4266333333333,158.01326666666662,160.2415333333333,152.61173333333332,150.38346666666666,148.79683333333332,0.0,0.018684210526315814
2014-06-30,4.397500000000008,0.0,158.38,158.3800000000006,1266900.0,157.55583333333334,160.06166666666667,161.74333333333334,164.24916666666667,155.87416666666667,153.36833333333334,151.68666666666667,0.0,0.022862309480754274
2014-07-01,3.669999999999988,0.0,160.3999,160.39990000000054,1251000.0,159.84996666666666,161.9599333333333,163.51996666666662,165.62993333333333,158.28993333333332,156.17996666666667,154.61993333333334,0.0,0.012753504230332157
2014-07-02,2.2000999999999915,0.0,162.0,162.00000000000054,1257900.0,161.69333333333333,162.90666666666667,163.81333333333333,165.02666666666667,160.78666666666666,159.57333333333332,158.66666666666666,0.0,0.0099756920047955
2014-07-03,2.3879999999999773,0.0,162.42,162.42000000000053,859300.0,162.13733333333334,163.47266666666667,164.52533333333332,165.86066666666662,161.0846666666667,159.74933333333337,158.69666666666672,0.0,0.002592592592592516
2014-07-07,2.9350000000000023,0.0,160.675,160.67500000000055,-837200.0,161.24666666666667,162.42833333333334,164.18166666666667,165.36333333333334,159.49333333333334,158.31166666666667,156.55833333333334,0.0,-0.010743750769609508
2014-07-08,2.105000000000018,0.0,158.62,158.62000000000054,-1400100.0,159.24,159.91000000000003,161.2,161.87000000000003,157.95000000000005,157.28,155.99,0.0,-0.012789793060525948
2014-07-09,3.75,0.0,162.15,162.15000000000055,1255400.0,160.90666666666667,163.40333333333334,164.65666666666667,167.15333333333334,159.65333333333334,157.15666666666667,155.90333333333334,0.0,0.02225444458454168
2014-07-10,3.25,0.0,162.88,162.88000000000054,1177200.0,162.21,164.17000000000004,165.46000000000004,167.42000000000004,160.92000000000004,158.96,157.67000000000004,0.0,0.004502004316990378
2014-07-11,2.4399999999999977,0.0,162.27,162.27000000000055,-773300.0,162.36333333333334,163.5366666666667,164.80333333333334,165.9766666666667,161.0966666666667,159.92333333333337,158.65666666666667,0.0,-0.00374508840864431
2014-07-14,2.2800000000000007,0.0,163.7,163.70000000000053,674900.0,163.56,164.69,165.68,166.81,162.57,161.44,160.45,0.0,0.008812473038762423
2014-07-15,1.9300000000000068,0.0,163.14,163.1400000000005,-1149000.0,163.36333333333332,164.2166666666666,165.29333333333332,166.14666666666662,162.28666666666663,161.4333333333333,160.35666666666663,0.0,-0.00342089187538181
2014-07-16,2.490000000000009,0.0,163.98,163.98000000000047,1075300.0,164.15666666666667,165.31333333333333,166.64666666666662,167.80333333333334,162.82333333333332,161.66666666666666,160.33333333333331,0.0,0.005148951820522272
2014-07-17,2.7820000000000107,0.0,163.0,163.00000000000048,-1551300.0,162.92733333333334,164.35466666666667,165.70933333333338,167.13666666666668,161.57266666666666,160.14533333333333,158.79066666666662,0.0,-0.005976338577875289
2014-07-18,2.430000000000007,0.0,164.15,164.1500000000005,718300.0,163.45333333333338,165.01666666666668,165.88333333333333,167.44666666666672,162.58666666666667,161.02333333333334,160.15666666666667,0.0,0.007055214723926416
2014-07-21,2.2800000000000007,0.0,163.0,163.00000000000048,-1070300.0,163.44000000000003,164.36000000000004,165.72,166.64000000000004,162.08000000000004,161.16000000000003,159.80000000000004,0.0,-0.007005787389582734
2014-07-22,2.6099999999999848,0.0,162.69,162.6900000000005,-882500.0,163.4933333333333,164.39666666666662,166.10333333333332,167.0066666666666,161.78666666666663,160.88333333333333,159.17666666666662,0.0,-0.00190184049079756
2014-07-23,2.0300000000000007,0.0,163.13,163.1300000000005,949000.0,163.09333333333333,164.1266666666667,165.1233333333333,166.15666666666667,162.09666666666666,161.06333333333333,160.06666666666666,0.0,0.002704530087897214
2014-07-24,1.700000000000017,0.0,163.86,163.86000000000053,554600.0,163.69333333333338,164.62666666666672,165.39333333333337,166.32666666666677,162.92666666666668,161.99333333333334,161.2266666666667,0.0,0.004474958621958059
2014-07-25,1.9699999999999989,0.0,162.35,162.35000000000048,-514800.0,162.79333333333332,163.55666666666662,164.76333333333332,165.5266666666666,161.58666666666662,160.82333333333332,159.61666666666662,0.0,-0.00921518369339692
2014-07-28,2.269999999999982,0.0,161.48,161.4800000000005,-579500.0,162.03666666666666,162.89333333333332,164.30666666666667,165.16333333333333,160.6233333333333,159.76666666666668,158.35333333333338,0.0,-0.005358792731752415
2014-07-29,5.8200000000000225,0.0,162.06,162.06000000000054,1566000.0,163.65,165.71,169.36000000000004,171.42000000000004,160.0,157.94,154.29,0.0,0.0035917760713401812
2014-07-30,2.9000000000000057,0.0,161.77,161.77000000000055,-912200.0,161.98333333333332,163.32666666666663,164.88333333333333,166.22666666666666,160.42666666666662,159.08333333333331,157.5266666666666,0.0,-0.0017894606935702337
2014-07-31,10.180000000000009,0.0,154.52,154.52000000000052,-2800200.0,155.86333333333334,160.13666666666668,165.7533333333334,170.02666666666667,150.24666666666667,145.9733333333334,140.3566666666667,0.0,-0.04481671508932435
